Ward Code;Ward Name ;Time Period;Latest Mid-Year Population Estimates for Ward;All Crimes (number);All Crimes (rate per 1000 ward population);Violent & Sexual Offences (number);Violent & Sexual Offences (rate per 1000 ward population);Burglary (number);Burglary (rate per 1000 ward population);geo_point_2d
E05010894;Clifton Down;2016/17;11457;883;77.0707864188;122;10.6485118268;83;7.2444793576;51.4649698075,-2.61265665527
E05010914;Southville;2016/17;12118;2085;172.058095395;484;39.9405842548;170;14.0287176102;51.4433220308,-2.60399054226
E05010915;Stockwood;2016/17;11793;1010;85.6440261172;310;26.2867802934;84;7.12286949886;51.418418512,-2.54973459028
E05010910;St George Central;2017/18;12931;1099;84.9895599722;400;30.9334158224;128;9.89869306318;51.4621405804,-2.52638340272
E05010915;Stockwood;2017/18;11688;1064;91.0335386721;338;28.9185489391;88;7.52908966461;51.418418512,-2.54973459028
E05010917;Westbury-on-Trym & Henleaze;2017/18;19854;1225;61.700413015;155;7.80699103455;297;14.9592021759;51.4897948304,-2.61748273112
E05010918;Windmill Hill;2017/18;13673;1071;78.3295545967;355;25.9635778542;98;7.16741022453;51.4390971799,-2.58594427096
E05010887;Bedminster;2018/19;12517;1036;82.7674362867;325;25.9646880243;69;5.51250299593;51.4371603671,-2.62187227821
E05010901;Henbury & Brentry;2018/19;12473;1150;92.1991501644;449;35.9977551511;94;7.53627836126;51.5089736142,-2.62103514848
E05010886;Avonmouth & Lawrence Weston;2016/17;21220;2397;112.959472196;826;38.9255419416;182;8.57681432611;51.5073341696,-2.67640359358
E05010904;Horfield;2016/17;13435;1527;113.658355043;445;33.1224413844;249;18.5336806848;51.4950842804,-2.586379126
E05010894;Clifton Down;2018/19;11639;845;72.6007388951;182;15.6370822236;103;8.84955752212;51.4649698075,-2.61265665527
E05010909;Redland;2018/19;13088;772;58.9853300733;185;14.1350855746;97;7.41136919315;51.4752449941,-2.60115761678
E05010912;St George West;2018/19;6518;669;102.638846272;240;36.8211107702;68;10.4326480515;51.4601173974,-2.54693954016
E05010915;Stockwood;2018/19;11580;820;70.8117443869;290;25.0431778929;59;5.09499136442;51.418418512,-2.54973459028
E05010893;Clifton;2016/17;13233;672;50.7821355702;111;8.38812060757;72;5.4409430968;51.4565158032,-2.61996331305
E05010897;Eastville;2016/17;14460;1631;112.793914246;460;31.8118948824;177;12.2406639004;51.4747101824,-2.54692680567
E05010906;Knowle;2016/17;13425;1124;83.7243947858;362;26.9646182495;91;6.77839851024;51.4327773874,-2.57233440569
E05010907;Lawrence Hill;2016/17;18884;3549;187.93687778;1152;61.0040245711;243;12.868036433;51.4545929175,-2.57123424149
E05010911;St George Troopers Hill;2016/17;5891;227;38.5333559667;68;11.5430317433;24;4.07401120353;51.4534361531,-2.53032298326
E05010913;Southmead;2016/17;12841;1377;107.234639047;478;37.2245152247;106;8.25480881551;51.5030620845,-2.60111790007
E05010917;Westbury-on-Trym & Henleaze;2016/17;19624;1406;71.6469629026;180;9.17244190787;241;12.2808805544;51.4897948304,-2.61748273112
;Bristol;2016/17;455966;55419;121.541957076;15951;34.9828715299;4860;10.6586894637;
E05010900;Hartcliffe & Withywood;2017/18;19030;2578;135.470310037;1036;54.4403573305;161;8.46032580137;51.4077037025,-2.6122179734
E05010902;Hengrove & Whitchurch Park;2017/18;17414;1920;110.256115769;625;35.8906626852;148;8.49890892385;51.4115422794,-2.57721341501
E05010907;Lawrence Hill;2017/18;19003;3722;195.863810977;1266;66.6210598327;231;12.1559753723;51.4545929175,-2.57123424149
E05010912;St George West;2017/18;6520;678;103.987730061;225;34.509202454;68;10.4294478528;51.4601173974,-2.54693954016
E05010913;Southmead;2017/18;12670;1412;111.444356748;454;35.8326756117;126;9.94475138122;51.5030620845,-2.60111790007
E05010914;Southville;2017/18;12384;2254;182.009043928;565;45.6233850129;193;15.584625323;51.4433220308,-2.60399054226
;Bristol;2017/18;459252;55916;121.754505152;16716;36.3983172637;4852;10.5650057049;
